,id,success,sub_id,odds_id,home_od,draw_od,away_od,ss_x,time_str,add_time,sport_id,time,time_status,ss_y,round,league.id,league.name,league.cc,home.id,home.name,home.image_id,home.cc,away.id,away.name,away.image_id,away.cc,scores.1.home,scores.1.away,scores.2.home,scores.2.away,scores.4.home,scores.4.away,o_home.id,o_home.name,o_home.image_id,o_home.cc,o_away.id,o_away.name,o_away.image_id,o_away.cc,scores.3.home,scores.3.away,scores.8.home,scores.8.away,scores.9.home,scores.9.away
0,5705367,1,78_1,6714191,5.500,9.500,1.222,0-0,00:00,1686490198,78,2023-06-11 13:30:00+00:00,3,27-34,34,515,Germany Bundesliga,de,740,Goppingen,3995,de,844,Kiel,3980,de,13,18,14,16,27,34,,,,,,,,,,,,,,
1,5671212,1,78_1,6714202,6.500,10.000,1.200,0-0,00:00,1686490240,78,2023-06-11 13:30:00+00:00,3,30-35,34,515,Germany Bundesliga,de,754,HSG Wetzlar,3984,de,3889,SC Magdeburg,3982,de,15,18,15,17,30,35,,,,,,,,,,,,,,
2,5671211,1,78_1,6714176,1.500,8.000,3.500,0-0,00:00,1686490062,78,2023-06-11 13:30:00+00:00,3,34-31,34,515,Germany Bundesliga,de,632,Flensburg-H.,3993,de,3888,Rhein-Neckar,4004,de,17,15,17,16,34,31,177769,SG Flensburg Handewitt,3993,de,,,,,,,,,,
3,5663105,1,78_1,6714180,1.620,7.500,3.000,0-0,00:00,1686490111,78,2023-06-11 13:30:00+00:00,3,33-28,34,515,Germany Bundesliga,de,178537,Hamburg,3997,de,593,MT Melsungen,4007,de,18,13,15,15,33,28,,,,,,,,,,,,,,
4,5663104,1,78_1,6714201,3.250,7.500,1.520,0-0,00:00,1686490248,78,2023-06-11 13:30:00+00:00,3,38-38,34,515,Germany Bundesliga,de,737,Minden,3986,de,524,Gummersbach,3994,de,17,23,21,15,38,38,,,,,,,,,,,,,,
5,5663103,1,78_1,6714177,3.500,7.500,1.500,0-0,00:00,1686490067,78,2023-06-11 13:30:00+00:00,3,31-34,34,515,Germany Bundesliga,de,745,Stuttgart,6272,de,659,Hannover-Burgdorf,5447,de,14,19,17,15,31,34,303701,TVB Stuttgart,6272,de,,,,,,,,,,
6,5663102,1,78_1,6714182,3.750,8.000,1.500,0-0,00:00,1686490128,78,2023-06-11 13:30:00+00:00,3,35-32,34,515,Germany Bundesliga,de,6267,Lemgo,3996,de,657,Fuchse Berlin,5453,de,16,21,19,11,35,32,228069,TBV Lemgo Lippe,3996,,,,,,,,,,,
7,5662967,1,78_1,6714196,4.500,8.500,1.300,0-0,00:00,1686490220,78,2023-06-11 13:30:00+00:00,3,28-33,34,515,Germany Bundesliga,de,845,Hamm-Westfalen,5441,de,606,Leipzig,7962,de,13,18,15,15,28,33,178538,ASV Hamm Westfalen,5441,de,,,,,,,,,,
8,5642139,1,78_1,6700909,-,-,-,0-0,00:00,1686243956,78,2023-06-08 17:05:00+00:00,3,35-32,33,515,Germany Bundesliga,de,524,Gummersbach,3994,de,740,Goppingen,3995,de,16,15,19,17,35,32,,,,,,,,,,,,,,
9,5642138,1,78_1,6700851,1.100,12.000,8.500,0-0,00:00,1686243665,78,2023-06-08 17:05:00+00:00,3,32-19,33,515,Germany Bundesliga,de,659,Hannover-Burgdorf,5447,de,737,Minden,3986,de,15,9,17,10,32,19,,,,,,,,,,,,,,
